USBlyzer Report

Capture List

Type,Seq,Time,Elapsed,Duration,Request,Request Details,Raw Data,I/O,C:I:E,Device Object,Device Name,Driver Name,IRP,Status
START,0001,16:01:27.054,,,,,,,,,,,,
Create,0002,16:05:07.963,220.908617 s,,Create,ST-LinkUpgrade.exe,,,,FFFFFA800373FB40h,,WinUsb,FFFFFA8002864690h,
Create,0003-0002,16:05:07.963,220.908641 s,24 us,Create,ST-LinkUpgrade.exe,,,,FFFFFA800373FB40h,,WinUsb,FFFFFA8002864690h,Success
URB,0004,16:05:07.963,220.908764 s,,Bulk or Interrupt Transfer,16 bytes data,F1 80 00 00 00 00 00 00...,out,01:00:02,FFFFFA800393B2F0h,USBPDO-7,usbhub,FFFFFA8002864690h,,F1 80 00 00 00 00 00 00 00 00 00 00 00 00 00 00
URB,0005-0004,16:05:07.965,220.910795 s,2.032 ms,Bulk or Interrupt Transfer,16 bytes buffer,,out,01:00:02,FFFFFA800393B2F0h,USBPDO-7,usbhub,FFFFFA8002864690h,Success (Success)
URB,0006,16:05:07.965,220.910876 s,,Bulk or Interrupt Transfer,64 bytes buffer,,in,01:00:81,FFFFFA800393B2F0h,USBPDO-7,usbhub,FFFFFA80027BBA50h,
URB,0007-0006,16:05:07.968,220.912779 s,1.903 ms,Bulk or Interrupt Transfer,6 bytes data,23 80 83 04 48 37,in,01:00:81,FFFFFA800393B2F0h,USBPDO-7,usbhub,FFFFFA80027BBA50h,Success (Success),23 80 83 04 48 37
URB,0008,16:05:07.968,220.912813 s,,Bulk or Interrupt Transfer,16 bytes data,F5 00 00 00 00 00 00 00...,out,01:00:02,FFFFFA800393B2F0h,USBPDO-7,usbhub,FFFFFA8002864690h,,F5 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
URB,0009-0008,16:05:07.968,220.913777 s,965 us,Bulk or Interrupt Transfer,16 bytes buffer,,out,01:00:02,FFFFFA800393B2F0h,USBPDO-7,usbhub,FFFFFA8002864690h,Success (Success)
URB,0010,16:05:07.968,220.913800 s,,Bulk or Interrupt Transfer,64 bytes buffer,,in,01:00:81,FFFFFA800393B2F0h,USBPDO-7,usbhub,FFFFFA80027BBA50h,
URB,0011-0010,16:05:07.970,220.914777 s,978 us,Bulk or Interrupt Transfer,2 bytes data,00 01,in,01:00:81,FFFFFA800393B2F0h,USBPDO-7,usbhub,FFFFFA80027BBA50h,Success (Success),00 01
